claim_id,claim_or_planned_claim,evidence_layer,required_artifact,current_status,allowed_wording
C001,Accessible corpus has 5632 selected images from 176 specimens,H0_HISTORICAL,data/manifests/data_integrity_report.json;docs/W03_DATA_QUALITY_SUMMARY.md,VERIFIED_AUTOMATED_WITH_LIMITATIONS,The recovered accessible corpus contains 5632 selected records from 176 specimens
C002,Two views and 32 process-condition strata are represented,H0_HISTORICAL,data/manifests/data_integrity_report.json;docs/W03_DATA_QUALITY_SUMMARY.md,VERIFIED_AUTOMATED_WITH_LIMITATIONS,The recovered accessible corpus represents two views and 32 process-condition strata
C003,No specimen crosses train validation or test splits,H0_HISTORICAL,data/manifests/data_integrity_report.json;docs/W03_DATA_QUALITY_SUMMARY.md,VERIFIED_AUTOMATED_WITH_LIMITATIONS,No cross-split specimen overlap was found in the W03 automated integrity audit
C004,Original Rev02 code is recoverable,R1_REPRODUCTION,inputs/rev02_implementation_7b20c457.zip;docs/RECOVERY_STATUS.csv,VERIFIED_HASHES,The locked Rev02 implementation source was recovered with matching hashes
C005,Historical results are numerically reproducible,R1_REPRODUCTION,docs/W09_EXECUTION_REPORT.md;evidence/generator_factorial/,PARTIALLY_VERIFIED_SCOPE_LIMITED,W09 regenerated the frozen checkpoint-selection arrays and matched their saved validation MSE values; do not generalize this to every historical result
C006,Inherited boxes are valid synthetic supervision,N2_NEW_STUDY,docs/SCOPE_DECISION_001.md;docs/W08_APPROVAL_FORM.md,PROHIBITED_BY_SCOPE,Do not claim label validity; report only the operational inherited_bbox_region target and its unverified physical semantics
C007,Optical residual regularization improves generation,N2_NEW_STUDY,docs/W09_EXECUTION_REPORT.md;evidence/stronger_generator/W11_QUALITY_COMPLETENESS.json;evidence/stronger_generator/quality_arm_summary.csv,EVIDENCE_COMPLETE_MIXED_NO_BLANKET_IMPROVEMENT,Report metric-specific W09 and W11 outcomes including the adverse compact-diffusion diagnostics; do not claim general image-quality improvement
C008,Optical residual regularization improves downstream detection,N2_NEW_STUDY,runs/new_study/W12_detector_core/;evidence/detector_core/;evidence/statistics/,IN_PROGRESS_TEST_LOCKED,No downstream-improvement claim until W12 and the frozen W17 held-out analysis are complete
C009,Method is physically validated,N2_NEW_STUDY,calibrated physical observation evidence,OUT_OF_SCOPE,Prohibited; call the residual an optical-radiance proxy
C010,Evaluation is externally validated,N2_NEW_STUDY,docs/W16_EXTERNAL_CANDIDATE_SCREEN.md;docs/W08_APPROVAL_FORM.md,PROHIBITED_CURRENT_SCOPE,Do not use external-validation wording; the approved route is protocol-frozen grouped internal evaluation
C011,New method is equivalent or non-inferior,N2_NEW_STUDY,docs/STATISTICAL_ANALYSIS_PLAN.md;docs/W08_APPROVAL_FORM.md,PROHIBITED_NO_MARGIN,No equivalence or noninferiority claim because no confirmatory margin was frozen
C012,Scientific Reports package is submission-ready,N2_NEW_STUDY,output/submission/;release/checklist/;docs/W19_PUBLICATION_AUDIT.md,IN_PROGRESS_GATES_PENDING,Do not claim submission readiness until W19-W21 acceptance checks public upload and fresh-download verification pass
